,"Filtered Water Flow Rate, GPM","Filtered Water Flow Rate, m3/hr"
6/25/2024 16:00,7,1.589872949
6/25/2024 16:15,6.482222222,1.472272823
6/25/2024 16:30,7.368888889,1.67365673
6/25/2024 16:45,13.73777778,3.120188753
6/25/2024 17:00,25.60170284,5.814779256
6/25/2024 17:15,44.10061213,10.01633861
6/25/2024 17:30,40,9.08498828
6/25/2024 17:45,40,9.08498828
6/25/2024 18:00,44.58666667,10.1267336
6/25/2024 18:15,36.74666667,8.3460759
6/25/2024 18:30,40,9.08498828
6/25/2024 18:45,40,9.08498828
6/25/2024 19:00,46.66666667,10.59915299
6/25/2024 19:15,40,9.08498828
6/25/2024 19:30,40,9.08498828
6/25/2024 19:45,45.93333333,10.43259487
6/25/2024 20:00,40.73333333,9.251546398
6/25/2024 20:15,40,9.08498828
6/25/2024 20:30,40,9.08498828
6/25/2024 20:45,45.93333333,10.43259487
6/25/2024 21:00,40.73333333,9.251546398
6/25/2024 21:15,40,9.08498828
6/25/2024 21:30,42.6,9.675512518
6/25/2024 21:45,44.06666667,10.00862876
6/25/2024 22:00,40,9.08498828
6/25/2024 22:15,40.03969579,9.094004175
6/25/2024 22:30,42.61593396,9.679131515
6/25/2024 22:45,44.05555556,10.00610515
6/25/2024 23:00,40,9.08498828
6/25/2024 23:15,40,9.08498828
6/25/2024 23:30,40,9.08498828
6/25/2024 23:45,45.89498983,10.42388612
6/26/2024 0:00,40.76073236,9.257769394
6/26/2024 0:15,40,9.08498828
6/26/2024 0:30,40,9.08498828
6/26/2024 0:45,45.94444444,10.43511848
6/26/2024 1:00,40.72222222,9.249022791
6/26/2024 1:15,40,9.08498828
6/26/2024 1:30,40,9.08498828
6/26/2024 1:45,45.94444444,10.43511848
6/26/2024 2:00,40.72222222,9.249022791
6/26/2024 2:15,40,9.08498828
6/26/2024 2:30,40,9.08498828
6/26/2024 2:45,45.94444444,10.43511848
6/26/2024 3:00,40.72222222,9.249022791
6/26/2024 3:15,40,9.08498828
6/26/2024 3:30,40.04451864,9.095099564
6/26/2024 3:45,45.95555556,10.43764209
6/26/2024 4:00,40.71111111,9.246499183
6/26/2024 4:15,40,9.08498828
6/26/2024 4:30,40,9.08498828
6/26/2024 4:45,39.96036236,9.075985592
6/26/2024 5:00,46.71758212,10.61071715
6/26/2024 5:15,40,9.08498828
6/26/2024 5:30,40,9.08498828
6/26/2024 5:45,40,9.08498828
6/26/2024 6:00,46.66666667,10.59915299
6/26/2024 6:15,40,9.08498828
6/26/2024 6:30,40,9.08498828
6/26/2024 6:45,40,9.08498828
6/26/2024 7:00,46.66666667,10.59915299
6/26/2024 7:15,40,9.08498828
