,"Master Meter Flow Rate, GPM","Master Meter Flow Rate, m3/hr"
7/22/2022 15:45,76.24333333,17.31674474
7/22/2022 16:00,26.83172361,6.094147364
7/22/2022 16:15,16.398,3.724390945
7/22/2022 16:30,63.94888889,14.52437265
7/22/2022 16:45,126.4977778,28.73077071
7/22/2022 17:00,45.96222222,10.43915626
7/22/2022 17:15,46.48444444,10.55776582
7/22/2022 17:30,48.84888889,11.09478958
7/22/2022 17:45,47.22666667,10.72634283
7/22/2022 18:00,48.77333333,11.07762904
7/22/2022 18:15,46.85555556,10.64205433
7/22/2022 18:30,49.14444444,11.16191755
7/22/2022 18:45,45,10.22061182
7/22/2022 19:00,44.14444444,10.02629401
7/22/2022 19:15,40.74222222,9.253565285
7/22/2022 19:30,41.33333333,9.387821223
7/22/2022 19:45,43.11333333,9.792103201
7/22/2022 20:00,41.67514376,9.465454815
7/22/2022 20:15,45.41938416,10.31586432
7/22/2022 20:30,50.11666667,11.38273323
7/22/2022 20:45,46.39444444,10.5373246
7/22/2022 21:00,40.78333333,9.262902634
7/22/2022 21:15,43.13888889,9.797907499
7/22/2022 21:30,41.96111111,9.530405067
7/22/2022 21:45,39.37222222,8.942404436
7/22/2022 22:00,40.07777778,9.102653535
7/22/2022 22:15,40.13888889,9.116533378
7/22/2022 22:30,39.97777778,9.079941064
7/22/2022 22:45,43.51111111,9.882448362
7/22/2022 23:00,39.58888889,8.991614789
7/22/2022 23:15,39.37222222,8.942404436
7/22/2022 23:30,41.45,9.414319105
7/22/2022 23:45,41.88333333,9.512739812
7/23/2022 0:00,39.37222222,8.942404436
7/23/2022 0:15,40.25555556,9.143031261
7/23/2022 0:30,38.45724912,8.734591438
7/23/2022 0:45,41.67060657,9.464424307
7/23/2022 1:00,42.13333333,9.569520988
7/23/2022 1:15,36.37333333,8.261282676
7/23/2022 1:30,38.33333333,8.706447102
7/23/2022 1:45,37.37333333,8.488407383
7/23/2022 2:00,36.58666667,8.309735947
7/23/2022 2:15,36,8.176489452
7/23/2022 2:30,35.96,8.167404464
7/23/2022 2:45,34.25333333,7.779778297
7/23/2022 3:00,35.08,7.967534722
7/23/2022 3:15,34.62666667,7.864571521
7/23/2022 3:30,34.66666667,7.873656509
7/23/2022 3:45,33.62666667,7.637446814
7/23/2022 4:00,33,7.495115331
7/23/2022 4:15,33,7.495115331
7/23/2022 4:30,32.49333333,7.380038813
7/23/2022 4:45,35.13333333,7.979648039
7/23/2022 5:00,33.37448711,7.580170606
7/23/2022 5:15,32.66001855,7.417897144
7/23/2022 5:30,32.70777778,7.428744444
7/23/2022 5:45,33.37444444,7.580160916
7/23/2022 6:00,34.04111111,7.731577387
7/23/2022 6:15,35.74888889,8.119455914
7/23/2022 6:30,37.74888889,8.573705328
7/23/2022 6:45,38.25111111,8.687772404
7/23/2022 7:00,36.87666667,8.375602112
7/23/2022 7:15,34,7.722240038
7/23/2022 7:30,35.58,8.081097075
7/23/2022 7:45,38.50222222,8.744805941
7/23/2022 8:00,38,8.630738866
7/23/2022 8:15,38.24666667,8.68676296
7/23/2022 8:30,42.62555556,9.681316816
7/23/2022 8:45,41,9.312112987
7/23/2022 9:00,43.66666667,9.917778872
7/23/2022 9:15,42.12333333,9.567249741
7/23/2022 9:30,45.95747542,10.43807814
7/23/2022 9:45,43.42038212,9.861841566
7/23/2022 10:00,46.29555556,10.51486449
7/23/2022 10:15,48.37111111,10.98627444
7/23/2022 10:30,44.87777778,10.19285213
7/23/2022 10:45,47.09472731,10.69637614
7/23/2022 11:00,46.03099678,10.45477666
7/23/2022 11:15,45.12666667,10.24938094
7/23/2022 11:30,48.29111111,10.96810446
7/23/2022 11:45,46,10.44773652
7/23/2022 12:00,47.33333333,10.75056946
7/23/2022 12:15,46,10.44773652
7/23/2022 12:30,48.16888889,10.94034478
7/23/2022 12:45,49.62444444,11.2709374
7/23/2022 13:00,52.41777778,11.90537242
7/23/2022 13:15,49.12222222,11.15687033
7/23/2022 13:30,44.66666667,10.14490358
7/23/2022 13:45,47.87777778,10.87422625
7/23/2022 14:00,54.91021146,12.47146569
7/23/2022 14:15,49.05099054,11.14069185
7/23/2022 14:30,49.13,11.15863685
7/23/2022 14:45,52.37666667,11.89603507
7/23/2022 15:00,48.11666667,10.92848382
7/23/2022 15:15,48,10.90198594
7/23/2022 15:30,48.75333333,11.07308655
7/23/2022 15:45,50.75333333,11.52733596
7/23/2022 16:00,45.74,10.3886841
7/23/2022 16:15,44.49333333,10.1055353
7/23/2022 16:30,44.34666667,10.07222367
7/23/2022 16:45,50,11.35623535
7/23/2022 17:00,48.71,11.06324448
7/23/2022 17:15,49.87,11.32670914
7/23/2022 17:30,46.49333333,10.55978471
7/23/2022 17:45,44,9.993487108
7/23/2022 18:00,42.45,9.641443812
7/23/2022 18:15,38.24666667,8.68676296
7/23/2022 18:30,41.9732647,9.533165447
7/23/2022 18:45,44.04570581,10.00386803
7/23/2022 19:00,42.71111111,9.700748597
7/23/2022 19:15,46.13333333,10.47801982
7/23/2022 19:30,50.62222222,11.49755739
7/23/2022 19:45,44.35555556,10.07424256
7/23/2022 20:00,42.17777778,9.57961542
7/23/2022 20:15,45.51111111,10.33669778
7/23/2022 20:30,45.77777778,10.39726436
7/23/2022 20:45,42.24444444,9.594757067
7/23/2022 21:00,43,9.766362401
7/23/2022 21:15,41.37777778,9.397915654
7/23/2022 21:30,40.08888889,9.105177143
7/23/2022 21:45,43.24444444,9.821881774
7/23/2022 22:00,43.33333333,9.842070637
7/23/2022 22:15,41.24444444,9.36763236
7/23/2022 22:30,41.24444444,9.36763236
7/23/2022 22:45,38,8.630738866
7/23/2022 23:00,39.2427379,8.912995347
7/23/2022 23:15,36.41621777,8.271022791
7/23/2022 23:30,35.75777778,8.121474801
7/23/2022 23:45,38.24222222,8.685753517
7/24/2022 0:00,37.09111111,8.424307743
7/24/2022 0:15,39,8.857863573
7/24/2022 0:30,39.57555556,8.98858646
7/24/2022 0:45,36.62111111,8.317559131
7/24/2022 1:00,36.04555556,8.186836244
7/24/2022 1:15,36.24222222,8.231504103
7/24/2022 1:30,35.62111111,8.090434424
7/24/2022 1:45,35.13666667,7.980405122
7/24/2022 2:00,36.37888889,8.26254448
