,"Distribution System Pressure, psi","Distribution System Pressure Head, m"
2/10/2022 17:30,0.02987938,0.021041817
2/10/2022 17:45,0.002823048,0.001988062
2/10/2022 18:00,0.002071083,0.001458509
2/10/2022 18:15,0.002557699,0.001801196
2/10/2022 18:30,0.003309664,0.002330749
2/10/2022 18:45,0.003353747,0.002361794
2/10/2022 19:00,0.002823048,0.001988062
2/10/2022 19:15,0.002823048,0.001988062
2/10/2022 19:30,0.003840363,0.002704481
2/10/2022 19:45,0.002324564,0.001637017
2/10/2022 20:00,0.003301186,0.002324779
2/10/2022 20:15,0.002853568,0.002009555
2/10/2022 20:30,0.002812875,0.001980898
2/10/2022 20:45,0.003820017,0.002690153
2/10/2022 21:00,0.002334737,0.001644181
2/10/2022 21:15,0.003820017,0.002690153
2/10/2022 21:30,0.003860709,0.002718809
2/10/2022 21:45,0.002823048,0.001988062
2/10/2022 22:00,0.003840363,0.002704481
2/10/2022 22:15,0.002823048,0.001988062
2/10/2022 22:30,0.002314391,0.001629853
2/10/2022 22:45,0.002823048,0.001988062
2/10/2022 23:00,0.002823048,0.001988062
2/10/2022 23:15,0.002823048,0.001988062
2/10/2022 23:30,0.003311359,0.002331943
2/10/2022 23:45,0.003352052,0.0023606
2/11/2022 0:00,0.002823048,0.001988062
2/11/2022 0:15,0.002823048,0.001988062
2/11/2022 0:30,0.002823048,0.001988062
2/11/2022 0:45,0.002823048,0.001988062
2/11/2022 1:00,0.002823048,0.001988062
2/11/2022 1:15,0.002823048,0.001988062
2/11/2022 1:30,0.002823048,0.001988062
2/11/2022 1:45,0.002823048,0.001988062
2/11/2022 2:00,0.002823048,0.001988062
2/11/2022 2:15,0.002823048,0.001988062
2/11/2022 2:30,0.002823048,0.001988062
2/11/2022 2:45,0.002823048,0.001988062
2/11/2022 3:00,0.002823048,0.001988062
2/11/2022 3:15,0.002823048,0.001988062
2/11/2022 3:30,0.002823048,0.001988062
2/11/2022 3:45,0.002823048,0.001988062
2/11/2022 4:00,0.002823048,0.001988062
2/11/2022 4:15,0.002823048,0.001988062
2/11/2022 4:30,0.002823048,0.001988062
2/11/2022 4:45,0.002823048,0.001988062
2/11/2022 5:00,0.002823048,0.001988062
2/11/2022 5:15,0.002823048,0.001988062
2/11/2022 5:30,0.002823048,0.001988062
2/11/2022 5:45,0.002823048,0.001988062
2/11/2022 6:00,0.002823048,0.001988062
2/11/2022 6:15,0.002823048,0.001988062
2/11/2022 6:30,0.002823048,0.001988062
2/11/2022 6:45,0.002823048,0.001988062
2/11/2022 7:00,0.002823048,0.001988062
2/11/2022 7:15,0.002823048,0.001988062
2/11/2022 7:30,0.002823048,0.001988062
2/11/2022 7:45,0.002823048,0.001988062
2/11/2022 8:00,0.002823048,0.001988062
2/11/2022 8:15,0.002823048,0.001988062
2/11/2022 8:30,0.003840363,0.002704481
2/11/2022 8:45,0.003820017,0.002690153
2/11/2022 9:00,0.003331706,0.002346272
2/11/2022 9:15,0.003352052,0.0023606
2/11/2022 9:30,0.002314391,0.001629853
2/11/2022 9:45,0.002823048,0.001988062
2/11/2022 10:00,0.004328674,0.003048362
2/11/2022 10:15,0.003352052,0.0023606
2/11/2022 10:30,0.002578893,0.001816122
2/11/2022 10:45,0.002060062,0.001450748
2/11/2022 11:00,0.002812875,0.001980898
2/11/2022 11:15,0.002823048,0.001988062
2/11/2022 11:30,0.002314391,0.001629853
2/11/2022 11:45,0.003820017,0.002690153
2/11/2022 12:00,0.002843395,0.002002391
2/11/2022 12:15,0.002323716,0.00163642
2/11/2022 12:30,0.002813723,0.001981495
2/11/2022 12:45,0.002323716,0.00163642
2/11/2022 13:00,0.002305066,0.001623286
2/11/2022 13:15,0.002823048,0.001988062
2/11/2022 13:30,0.002823048,0.001988062
2/11/2022 13:45,0.003821712,0.002691347
2/11/2022 14:00,0.003859014,0.002717615
2/11/2022 14:15,0.002823048,0.001988062
2/11/2022 14:30,0.002314391,0.001629853
2/11/2022 14:45,0.002823048,0.001988062
2/11/2022 15:00,0.002823048,0.001988062
2/11/2022 15:15,0.002823048,0.001988062
2/11/2022 15:30,0.002314391,0.001629853
2/11/2022 15:45,0.002823048,0.001988062
2/11/2022 16:00,0.00433037,0.003049556
2/11/2022 16:15,0.003350356,0.002359406
2/11/2022 16:30,0.003313055,0.002333137
2/11/2022 16:45,0.003350356,0.002359406
2/11/2022 17:00,0.003313055,0.002333137
2/11/2022 17:15,0.003350356,0.002359406
2/11/2022 17:30,0.003313055,0.002333137
2/11/2022 17:45,0.003350356,0.002359406
2/11/2022 18:00,0.00433037,0.003049556
2/11/2022 18:15,0.00434902,0.00306269
2/11/2022 18:30,0.002333042,0.001642987
2/11/2022 18:45,0.002323716,0.00163642
2/11/2022 19:00,0.002305066,0.001623286
2/11/2022 19:15,0.002823048,0.001988062
2/11/2022 19:30,0.002823048,0.001988062
2/11/2022 19:45,0.002823048,0.001988062
2/11/2022 20:00,0.002314391,0.001629853
2/11/2022 20:15,0.002823048,0.001988062
2/11/2022 20:30,0.002823048,0.001988062
2/11/2022 20:45,0.002823048,0.001988062
2/11/2022 21:00,0.002823048,0.001988062
2/11/2022 21:15,0.002823048,0.001988062
2/11/2022 21:30,0.002823048,0.001988062
2/11/2022 21:45,0.002823048,0.001988062
2/11/2022 22:00,0.002823048,0.001988062
2/11/2022 22:15,0.002323716,0.00163642
2/11/2022 22:30,0.002813723,0.001981495
2/11/2022 22:45,0.002823048,0.001988062
2/11/2022 23:00,0.002823048,0.001988062
2/11/2022 23:15,0.002823048,0.001988062
2/11/2022 23:30,0.002823048,0.001988062
2/11/2022 23:45,0.003821712,0.002691347
2/12/2022 0:00,0.002841699,0.002001197
2/12/2022 0:15,0.002823048,0.001988062
2/12/2022 0:30,0.002823048,0.001988062
2/12/2022 0:45,0.002323716,0.00163642
2/12/2022 1:00,0.00256872,0.001808957
2/12/2022 1:15,0.002060062,0.001450748
2/12/2022 1:30,0.002813723,0.001981495
2/12/2022 1:45,0.002823048,0.001988062
2/12/2022 2:00,0.002823048,0.001988062
2/12/2022 2:15,0.002823048,0.001988062
2/12/2022 2:30,0.002823048,0.001988062
2/12/2022 2:45,0.002823048,0.001988062
2/12/2022 3:00,0.002823048,0.001988062
2/12/2022 3:15,0.003821712,0.002691347
2/12/2022 3:30,0.003859014,0.002717615
2/12/2022 3:45,0.002823048,0.001988062
2/12/2022 4:00,0.00433037,0.003049556
2/12/2022 4:15,0.00434902,0.00306269
2/12/2022 4:30,0.003859014,0.002717615
2/12/2022 4:45,0.003821712,0.002691347
2/12/2022 5:00,0.00434902,0.00306269
2/12/2022 5:15,0.003350356,0.002359406
2/12/2022 5:30,0.003313055,0.002333137
2/12/2022 5:45,0.00434902,0.00306269
2/12/2022 6:00,0.00434902,0.00306269
2/12/2022 6:15,0.003348661,0.002358212
2/12/2022 6:30,0.002823048,0.001988062
2/12/2022 6:45,0.002823048,0.001988062
2/12/2022 7:00,0.00331475,0.002334331
2/12/2022 7:15,0.00434902,0.00306269
2/12/2022 7:30,0.00434902,0.00306269
2/12/2022 7:45,0.003348661,0.002358212
2/12/2022 8:00,0.002823048,0.001988062
2/12/2022 8:15,0.002823048,0.001988062
2/12/2022 8:30,0.00331475,0.002334331
2/12/2022 8:45,0.00434902,0.00306269
2/12/2022 9:00,0.002840004,0.002000002
2/12/2022 9:15,0.002823048,0.001988062
2/12/2022 9:30,0.002823048,0.001988062
2/12/2022 9:45,0.002823048,0.001988062
2/12/2022 10:00,0.002823048,0.001988062
2/12/2022 10:15,0.002823048,0.001988062
2/12/2022 10:30,0.00331475,0.002334331
2/12/2022 10:45,0.003348661,0.002358212
2/12/2022 11:00,0.004332065,0.00305075
2/12/2022 11:15,0.003348661,0.002358212
2/12/2022 11:30,0.003840363,0.002704481
2/12/2022 11:45,0.002823048,0.001988062
2/12/2022 12:00,0.004332065,0.00305075
2/12/2022 12:15,0.00434902,0.00306269
2/12/2022 12:30,0.003857318,0.002716421
2/12/2022 12:45,0.002823048,0.001988062
2/12/2022 13:00,0.002577197,0.001814928
2/12/2022 13:15,0.002560242,0.001802987
2/12/2022 13:30,0.002823048,0.001988062
2/12/2022 13:45,0.002823048,0.001988062
2/12/2022 14:00,0.002823048,0.001988062
2/12/2022 14:15,0.003823408,0.002692541
2/12/2022 14:30,0.002840004,0.002000002
2/12/2022 14:45,0.002322869,0.001635823
2/12/2022 15:00,0.002305913,0.001623883
2/12/2022 15:15,0.003823408,0.002692541
2/12/2022 15:30,0.003857318,0.002716421
2/12/2022 15:45,0.002322869,0.001635823
2/12/2022 16:00,0.002814571,0.001982092
2/12/2022 16:15,0.002823048,0.001988062
2/12/2022 16:30,0.002823048,0.001988062
2/12/2022 16:45,0.002823048,0.001988062
2/12/2022 17:00,0.002823048,0.001988062
2/12/2022 17:15,0.002823048,0.001988062
2/12/2022 17:30,0.003840363,0.002704481
2/12/2022 17:45,0.002823048,0.001988062
2/12/2022 18:00,0.003840363,0.002704481
2/12/2022 18:15,0.002823048,0.001988062
2/12/2022 18:30,0.002823048,0.001988062
2/12/2022 18:45,0.003823408,0.002692541
2/12/2022 19:00,0.002840004,0.002000002
2/12/2022 19:15,0.003823408,0.002692541
2/12/2022 19:30,0.003331706,0.002346272
2/12/2022 19:45,0.003348661,0.002358212
2/12/2022 20:00,0.004332065,0.00305075
2/12/2022 20:15,0.00434902,0.00306269
2/12/2022 20:30,0.003857318,0.002716421
2/12/2022 20:45,0.002823048,0.001988062
2/12/2022 21:00,0.002823048,0.001988062
2/12/2022 21:15,0.002322869,0.001635823
2/12/2022 21:30,0.00256872,0.001808957
2/12/2022 21:45,0.002560242,0.001802987
2/12/2022 22:00,0.002823048,0.001988062
2/12/2022 22:15,0.002823048,0.001988062
2/12/2022 22:30,0.002823048,0.001988062
2/12/2022 22:45,0.002823048,0.001988062
2/12/2022 23:00,0.00331475,0.002334331
2/12/2022 23:15,0.00434902,0.00306269
2/12/2022 23:30,0.003333401,0.002347466
2/12/2022 23:45,0.003346965,0.002357018
2/13/2022 0:00,0.003593664,0.002530749
2/13/2022 0:15,0.00256109,0.001803584
2/13/2022 0:30,0.002823048,0.001988062
2/13/2022 0:45,0.002823048,0.001988062
2/13/2022 1:00,0.002823048,0.001988062
2/13/2022 1:15,0.002823048,0.001988062
2/13/2022 1:30,0.003840363,0.002704481
2/13/2022 1:45,0.003825103,0.002693735
2/13/2022 2:00,0.002838308,0.001998808
2/13/2022 2:15,0.002823048,0.001988062
2/13/2022 2:30,0.004333761,0.003051944
2/13/2022 2:45,0.00434902,0.00306269
2/13/2022 3:00,0.003331706,0.002346272
2/13/2022 3:15,0.00434902,0.00306269
2/13/2022 3:30,0.003331706,0.002346272
2/13/2022 3:45,0.00434902,0.00306269
2/13/2022 4:00,0.00434902,0.00306269
2/13/2022 4:15,0.00434902,0.00306269
2/13/2022 4:30,0.002838308,0.001998808
2/13/2022 4:45,0.003825103,0.002693735
2/13/2022 5:00,0.002838308,0.001998808
2/13/2022 5:15,0.002823048,0.001988062
2/13/2022 5:30,0.002823048,0.001988062
2/13/2022 5:45,0.002823048,0.001988062
2/13/2022 6:00,0.002823048,0.001988062
2/13/2022 6:15,0.002823048,0.001988062
2/13/2022 6:30,0.003316446,0.002335525
2/13/2022 6:45,0.00434902,0.00306269
2/13/2022 7:00,0.003331706,0.002346272
2/13/2022 7:15,0.003346965,0.002357018
2/13/2022 7:30,0.003840363,0.002704481
2/13/2022 7:45,0.003825103,0.002693735
