Timestamp,"Distribution System Pressure Head, m",cluster,,
7/28/2022,20.4007154,10,,*note: the timestamp for these are all 0:00 on the day
8/11/2022,23.06672063,13,,"*note: the data in this excel is all in the pressure_pump_curves file as well, as the corresponding timestamp: mm/dd/yy 0:00"
8/18/2022,23.52829273,13,,
8/25/2022,23.03140925,13,,
9/1/2022,23.82463821,13,,
9/8/2022,23.44573787,13,,
9/15/2022,23.41599422,13,,
9/22/2022,19.32145816,11,,
9/29/2022,20.73569731,11,,
10/6/2022,21.68996194,11,,
10/13/2022,23.71068582,12,,
10/20/2022,24.87062759,12,,
10/27/2022,25.59470148,12,,
11/24/2022,25.95379003,12,,
12/1/2022,25.25542037,12,,
12/8/2022,25.387535,12,,
12/15/2022,24.38556363,12,,
12/22/2022,23.3503114,12,,
12/29/2022,21.83924303,12,,
1/5/2023,21.54292353,12,,
1/12/2023,15.49612161,8,,
1/19/2023,15.62513199,8,,
1/26/2023,15.43064229,8,,
2/2/2023,15.99506594,8,,
2/16/2023,15.86401637,8,,
2/23/2023,16.05685221,8,,
6/27/2024,20.04909089,7,,
7/4/2024,20.11216302,7,,
7/11/2024,19.85372663,7,,
7/18/2024,18.65960781,7,,
7/25/2024,19.00281577,7,,
8/1/2024,20.14590712,7,,
8/8/2024,20.04670101,7,,
8/15/2024,20.20177064,7,,
8/22/2024,20.11225827,7,,
8/29/2024,20.14351724,7,,
9/5/2024,20.03653535,7,,
9/12/2024,20.39648115,7,,
9/19/2024,20.3724178,7,,
9/26/2024,20.11309819,7,,
10/3/2024,19.22837828,7,,
10/10/2024,19.75823955,7,,
10/17/2024,20.26650529,7,,
10/24/2024,19.36202555,7,,
10/31/2024,19.55002101,7,,
11/7/2024,19.62615523,7,,
11/14/2024,22.57523603,9,,
