,time_start,time_bw_start,time_bw_end,time_end,bw_vol,bw_vol_m3
0,7/1/2024 13:45,7/2/2024 13:15,7/2/2024 13:45,7/2/2024 15:15,1679.181287,6.356389636
1,7/6/2024 10:30,7/6/2024 14:15,7/6/2024 14:45,7/6/2024 15:00,1856.141434,7.026256347
2,7/10/2024 4:00,7/15/2024 14:00,7/15/2024 14:15,7/15/2024 14:45,1933.176055,7.317863971
3,7/15/2024 15:15,7/16/2024 8:45,7/16/2024 8:45,7/16/2024 9:15,1086.592176,4.113196889
4,7/20/2024 12:30,7/20/2024 17:30,7/20/2024 18:00,7/20/2024 18:15,1019.86305,3.860599788
5,7/23/2024 16:00,7/24/2024 8:30,7/24/2024 8:45,7/24/2024 9:15,2719.092471,10.29287983
6,7/29/2024 8:15,7/29/2024 9:45,7/29/2024 10:15,7/29/2024 10:30,2492.074912,9.433525291
7,8/2/2024 7:30,8/2/2024 9:15,8/2/2024 10:00,8/2/2024 10:15,2179.808681,8.251469581
8,8/4/2024 9:15,8/4/2024 10:45,8/4/2024 11:15,8/4/2024 11:30,1526.1688,5.777174636
9,8/6/2024 8:15,8/6/2024 16:30,8/6/2024 17:00,8/6/2024 17:15,3024.243737,11.44800248
10,8/9/2024 9:45,8/9/2024 11:45,8/9/2024 12:15,8/9/2024 13:00,1680.884178,6.362835777
11,8/12/2024 20:30,8/13/2024 10:00,8/13/2024 10:00,8/13/2024 10:30,2306.139569,8.729683786
12,8/16/2024 11:00,8/16/2024 14:00,8/16/2024 14:30,8/16/2024 14:45,2827.369899,10.70275429
13,8/18/2024 9:15,8/19/2024 8:45,8/19/2024 9:15,8/19/2024 9:30,1372.515003,5.195532018
14,8/21/2024 13:30,8/22/2024 9:15,8/22/2024 9:45,8/22/2024 10:15,1782.330688,6.746852411
15,8/24/2024 19:45,8/26/2024 9:00,8/26/2024 9:45,8/26/2024 10:00,1430.857351,5.416381724
16,8/30/2024 4:00,8/30/2024 13:15,8/30/2024 14:00,8/30/2024 14:15,3075.380417,11.64157579
17,9/4/2024 1:45,9/5/2024 9:00,9/5/2024 9:45,9/5/2024 10:00,1690.485941,6.399182385
18,9/9/2024 22:15,9/10/2024 9:00,9/10/2024 9:30,9/10/2024 9:45,1686.194274,6.382936667
19,9/14/2024 14:45,9/14/2024 14:45,9/14/2024 19:45,9/14/2024 20:00,1320.22053,4.997575997
20,9/17/2024 8:30,9/17/2024 12:00,9/17/2024 12:30,9/17/2024 12:45,1538.895896,5.825351914
21,9/21/2024 10:00,9/21/2024 15:30,9/21/2024 16:00,9/21/2024 16:15,2338.256915,8.851261107
22,9/23/2024 18:45,9/24/2024 8:30,9/24/2024 9:00,9/24/2024 9:30,1415.354414,5.357696751
23,9/27/2024 15:30,9/29/2024 13:15,9/29/2024 14:00,9/29/2024 14:15,2325.624321,8.80344156
24,9/29/2024 17:15,9/30/2024 9:00,9/30/2024 9:15,9/30/2024 9:45,1970.041654,7.457415378
25,9/30/2024 14:00,10/1/2024 9:30,10/1/2024 9:30,10/1/2024 13:00,1514.72457,5.733853536
26,10/5/2024 8:30,10/6/2024 9:00,10/6/2024 9:00,10/6/2024 10:45,1524.704694,5.771632395
27,10/9/2024 7:45,10/10/2024 9:30,10/10/2024 9:30,10/10/2024 11:30,2063.187615,7.810011031
28,10/12/2024 14:45,10/12/2024 20:30,10/12/2024 20:45,10/12/2024 21:30,1762.297517,6.671018645
29,10/17/2024 14:00,10/17/2024 15:30,10/17/2024 16:00,10/17/2024 17:00,1343.759562,5.086680882
