timestamp,event_type,volume_m3,phase,color,data_type,paired_timestamp
2024-07-01 13:45:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-02 15:15:00
2024-07-02 13:15:00,backwash_event_start,6.3563896363109365,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-02 13:45:00
2024-07-02 13:45:00,backwash_event_end,6.3563896363109365,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-02 13:15:00
2024-07-02 15:15:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-01 13:45:00
2024-07-06 10:30:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-06 15:00:00
2024-07-06 14:15:00,backwash_event_start,7.026256346713272,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-06 14:45:00
2024-07-06 14:45:00,backwash_event_end,7.026256346713272,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-06 14:15:00
2024-07-06 15:00:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-06 10:30:00
2024-07-10 04:00:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-15 14:45:00
2024-07-15 14:00:00,backwash_event_start,7.317863971346526,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-15 14:15:00
2024-07-15 14:15:00,backwash_event_end,7.317863971346526,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-15 14:00:00
2024-07-15 14:45:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-10 04:00:00
2024-07-15 15:15:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-16 09:15:00
2024-07-16 08:45:00,backwash_event_start,4.1131968887862005,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-16 08:45:00
2024-07-16 08:45:00,backwash_event_end,4.1131968887862005,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-16 08:45:00
2024-07-16 09:15:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-15 15:15:00
2024-07-20 12:30:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-20 18:15:00
2024-07-20 17:30:00,backwash_event_start,3.8605997881202456,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-20 18:00:00
2024-07-20 18:00:00,backwash_event_end,3.8605997881202456,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-20 17:30:00
2024-07-20 18:15:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-20 12:30:00
2024-07-23 16:00:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-24 09:15:00
2024-07-24 08:30:00,backwash_event_start,10.292879831013513,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-24 08:45:00
2024-07-24 08:45:00,backwash_event_end,10.292879831013513,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-24 08:30:00
2024-07-24 09:15:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-23 16:00:00
2024-07-29 08:15:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-07-29 10:30:00
2024-07-29 09:45:00,backwash_event_start,9.433525291363646,Phase 2: Backwash Event,#bf5700,backwash_event,2024-07-29 10:15:00
