day_of_week,time,median_demand_m3_hr,median_demand_gpm
Monday,0:15,9.91077586,43.63583333
Monday,0:45,9.435634007,41.54384669
Monday,1:15,9.270917826,40.81862317
Monday,1:45,8.928589053,39.31139492
Monday,2:15,8.892878633,39.15416667
Monday,2:45,8.65452387,38.10472222
Monday,3:15,8.617237564,37.94055556
Monday,3:45,8.501467053,37.43083333
Monday,4:15,8.60563297,37.88946207
Monday,4:45,8.822533062,38.84444444
Monday,5:15,8.857863573,39
Monday,5:45,8.729853565,38.43638889
Monday,6:15,9.12997159,40.19805555
Monday,6:45,9.907179719,43.62
Monday,7:15,11.14005369,49.04818077
Monday,7:45,12.43261719,54.73916667
Monday,8:15,12.13962632,53.44916667
Monday,8:45,11.76032806,51.77916667
Monday,9:15,11.50512821,50.65555556
Monday,9:45,11.44494017,50.39055556
Monday,10:15,11.8505523,52.17641208
Monday,10:45,11.97212185,52.71166667
Monday,11:15,12.06492753,53.12027778
Monday,11:45,12.05514855,53.07722222
Monday,12:15,12.39438453,54.57083333
Monday,12:45,12.24505004,53.91333334
Monday,13:15,12.27766767,54.05694445
Monday,13:45,11.73265546,51.65732788
Monday,14:15,11.55938578,50.89444445
Monday,14:45,11.59337137,51.04407847
Monday,15:15,11.47636068,50.5288959
Monday,15:45,11.60121985,51.0786343
Monday,16:15,11.39755336,50.18191773
Monday,16:45,11.50985998,50.67638889
Monday,17:15,11.55856561,50.89083333
Monday,17:45,11.69244301,51.48027778
Monday,18:15,11.50237626,50.64343906
Monday,18:45,11.41118691,50.24194444
Monday,19:15,11.40380536,50.20944445
Monday,19:45,11.31875977,49.835
Monday,20:15,11.51011234,50.6775
Monday,20:45,11.32292373,49.85333334
Monday,21:15,11.36254437,50.02777778
Monday,21:45,11.35150621,49.97917822
Monday,22:15,11.11167372,48.92322753
Monday,22:45,10.8183019,47.63155027
Monday,23:15,10.66804749,46.97
Monday,23:45,9.918145777,43.6682821
Tuesday,0:15,9.637914869,42.43446253
Tuesday,0:45,9.369966698,41.25472223
Tuesday,1:15,9.083347935,39.99277778
Tuesday,1:45,8.92505874,39.29585142
Tuesday,2:15,8.76707678,38.60027778
Tuesday,2:45,8.725752701,38.41833333
Tuesday,3:15,8.555030631,37.66666667
Tuesday,3:45,8.484937422,37.35805556
Tuesday,4:15,8.481742461,37.34398857
Tuesday,4:45,8.668592983,38.16666667
Tuesday,5:15,8.781019715,38.66166667
Tuesday,5:45,8.861270444,39.015
Tuesday,6:15,9.132810649,40.21055556
Tuesday,6:45,9.810651719,43.195
Tuesday,7:15,10.83434308,47.70217747
Tuesday,7:45,12.43608715,54.75444445
Tuesday,8:15,12.08751382,53.21972222
Tuesday,8:45,11.77199974,51.83055556
Tuesday,9:15,11.4138367,50.25361111
Tuesday,9:45,11.35901132,50.01222222
Tuesday,10:15,11.54746174,50.84194444
Tuesday,10:45,11.86456897,52.23812558
Tuesday,11:15,11.81907061,52.03780236
Tuesday,11:45,11.75963407,51.77611111
Tuesday,12:15,12.11445333,53.33833334
Tuesday,12:45,12.17445211,53.6025
Tuesday,13:15,11.80171523,51.96138889
Tuesday,13:45,11.68610049,51.45235253
Tuesday,14:15,11.56134695,50.90307921
Tuesday,14:45,11.46140834,50.46306275
Tuesday,15:15,11.18614418,49.25111111
Tuesday,15:45,11.33289198,49.89722222
Tuesday,16:15,11.37541477,50.08444445
Tuesday,16:45,11.63761025,51.23885643
Tuesday,17:15,11.741401,51.69583333
Tuesday,17:45,11.84997923,52.17388889
Tuesday,18:15,11.87610644,52.28892355
